,node_id,name,confidence_level,truth_value,prop_id,subject_def
0,27370,response inhibition is measured by the contrast of Stop Signal Reaction Time trials in the stop signal task,100,positive,ass_4b4a2f02e3898,
1,27371,response inhibition is measured by the contrast of Stop trial trials in the Go/no-go task,100,positive,ass_4b4a2f8c351cf,
2,27372,working memory is a kind of memory,100,positive,ass_4b4a5151af6cd,
3,27373,spatial working memory is a kind of working memory,100,positive,ass_4b4a517e1bc90,
4,27374,n-back task is descended from Continuous Performance Task,100,positive,ass_4b4a53ec314b1,
5,27375,working memory is measured by the contrast of 1-back trials in the n-back task,100,positive,ass_4b4a54f5c4df2,
6,27376,working memory is measured by the contrast of 2-back trials in the n-back task,100,positive,ass_4b4a54f5c7baa,
7,27377,working memory is measured by the contrast of 3-back trials in the n-back task,100,positive,ass_4b4a54f5c9ae1,
8,27378,working memory is measured by the contrast of 3-back minus 1-back trials in the n-back task,100,positive,ass_4b4a54f5cba1d,
9,27379,working memory retrieval is a part of working memory,100,positive,ass_4b4a55258ca7e,
10,27380,working memory storage is a part of working memory,100,positive,ass_4b4a55649a3f5,
11,27381,response bias is a part of  response selection,70,positive,ass_56524db885531,
12,27382,central executive is a part of executive function,100,positive,ass_4b4a5c9370f4a,
13,27383,semantic working memory is a kind of working memory,100,positive,ass_4b4a5cf9716de,
14,27384,visuospatial sketch pad is a part of spatial working memory,100,positive,ass_4b4a5e644a3f4,
15,27385,auditory working memory is a kind of working memory,100,positive,ass_4b4a5eef92be3,
16,27386,working memory is measured by the contrast of delay trials in the delayed nonmatch to sample task,100,positive,ass_4b4a60c4665aa,
17,27387,working memory is measured by the contrast of delay minus no delay trials in the delayed nonmatch to sample task,100,positive,ass_4b4a60c46a6a3,
18,27388,cognitive control is a narrower synonym of executive function,70,positive,ass_4b4a610dc7839,narrower
19,27389,response inhibition is a kind of executive function,100,positive,ass_4b4a6166ef4b3,
20,27390,lexical retrieval is a kind of  lexical processing,70,positive,ass_56529548d25e4,
21,27391,lexical processing is a part of  language,70,positive,ass_56524b94e4e22,
22,27392,reading is a kind of visual object recognition,100,positive,ass_4b64afa4966e6,
23,27393,reading is a part of language processing,100,positive,ass_4b64afbf6aa8e,
24,27394,past tense is a part of language,100,positive,ass_4b64b1433a659,
25,27395,phonology is a part of language,100,positive,ass_4b64b43031367,
26,27396,phonology is a part of language comprehension,100,positive,ass_4b64b44385b1e,
27,27397,phonology is a part of language production,100,positive,ass_4b64b458ccfc1,
28,27398,letter n-back task  is descended from n-back task,100,positive,ass_4b65244f102ea,
29,27399,face n-back task  is descended from n-back task,100,positive,ass_4b65248e2dd6e,
30,27400,language production is a part of language,100,positive,ass_4b6554150dfb8,
31,27401,semantic knowledge is a kind of long term memory,100,positive,ass_4b65587634a35,
32,27402,semantic knowledge is a part of language,100,positive,ass_4b65588580318,
33,27403,morpheme is a part of language,100,positive,ass_4b6558e004424,
34,27404,morpheme is a part of word,100,positive,ass_4b6558fa4df75,
35,27405,agglutinative language is a kind of language,100,positive,ass_4b65e5023e714,
36,27406,word frequency (token) is a part of language,100,positive,ass_4b65ee343fe21,
37,27407,word frequency (type) is a part of language,100,positive,ass_4b65ee5f14a93,
38,27408,velar is a part of speech production,100,positive,ass_4b65ffb10f061,
39,27409,verb is a kind of word,100,positive,ass_4b65ffe09cb58,
40,27410,verb is a part of language,100,positive,ass_4b65fff2b2b93,
41,27411,task switching is measured by the contrast of Perseverative errors trials in the Wisconsin Card Sorting test,100,positive,ass_4b7c11b0a6d5f,
42,27412,working memory is measured by the contrast of Failure to maintain set trials in the Wisconsin Card Sorting test,100,positive,ass_4b7c11d216fb8,
43,27413,behavioral inhibition (cognitive) is an exact synonym of response inhibition,100,positive,ass_4b7c27488af65,exact
44,27414,Central Coherence is measured by the contrast of Segmented blocks trials in the Embedded Figures Test,70,positive,ass_4b82cf7c151a9,
45,27415,Central Coherence is measured by the contrast of Unsegmented blocks trials in the Embedded Figures Test,70,positive,ass_4b82cf7c19a4c,
46,27416,Central Coherence is measured by the contrast of Unsegmented blocks trials in the Block Design Test,70,positive,ass_4b82d318e6750,
47,27417,homonym is a kind of word,100,positive,ass_4be3b16abf22d,
48,27418,homonym is a part of language,100,positive,ass_4be3b18098ec1,
49,27419,pseudohomophone is a kind of pseudoword,100,positive,ass_4be3b28a28003,
50,27420,pseudohomophone is a part of language,70,positive,ass_4be3b2a2a30e6,
51,27421,homophone is a kind of word,100,positive,ass_4be3b80a0fae3,
52,27422,homophone is a part of language,100,positive,ass_4be3b81a6e31a,
53,27423,imageability is a part of word,70,positive,ass_4be3c0fced135,
54,27424,imageability is a part of language,100,positive,ass_4be3c16ca6376,
55,27425,word is a part of language,100,positive,ass_4be44d92e70f0,
