,node_id,name,alias,concept_class,prop_id,definition_text
0,25058,abductive reasoning,,ctp_C3,trm_4a3fd79d096be,The process of adopting an explanatory hypothesis; inferring the cause A as a possible explanation for the consequence B 
1,25059,abstract analogy,,ctp_C3,trm_4a3fd79d096e3,high-level analogy that retains general information relevant to many specific instances
2,25060,abstract knowledge,,ctp_C3,trm_4a3fd79d096f0,Knowledge that is general and not tied to a specific instance.
3,25061,acoustic coding,,ctp_C1,trm_4a3fd79d096fc,a type of short term memory coding that represents the acoustic properties of the signal
4,25062,acoustic encoding,,ctp_C1,trm_4a3fd79d09707,the processing and encoding of auditory input for storage and later retrieval.
5,25063,acoustic phonetic processing,,ctp_C6,trm_4a3fd79d09713,"the cognitive ability to discriminate items on the basis of contrasts in sonorance, manner, place, or voicing in auditory stimuli.
"
6,25064,acoustic processing,,ctp_C1,trm_4a3fd79d0971e,"the extraction of information from signals propagated undersea, in the atmosphere, or in the solid earth in the presence of acoustic noise."
7,25065,action,,ctp_C7,trm_4a3fd79d09735,"the bringing about of an alteration by force or through a natural agency; expression by means of attitude, voice, and gesture; a function of the body or one of its parts; an act of will; a thing done; the accomplishment of a thing usually over a period of time, in stages, or with the possibility of repetition."
8,25066,activation,,,trm_4a3fd79d09741,the relative engagement of a particular mental representation compared to other representations
9,25067,activation level,,,trm_4a3fd79d0974d,quantity or amount of activation
10,25068,adaptation,,ctp_C5,trm_4a3fd79d09758,adjustment to environmental conditions; adjustment of a sense organ to the intensity or quality of stimulation; modification of an organism or its parts that makes it more fit for existence under the conditions of its environment. 
11,25069,adaptive control,,ctp_C7,trm_4a3fd79d09764,modifying the control law used by a controller to cope with the fact that the parameters of the system being controlled are slowly time-varying or uncertain.
12,25070,affect perception,,ctp_C1,trm_4a3fd79d09770,"The ability to understand a facial, vocal, or gestural behavior that serves as an indicator of emotion."
13,25071,affect recognition,,ctp_C8,trm_4a3fd79d0977b,The ability to understand a physical expression that serves as an indicator of emotion.
14,25072,altruism,selflessness,ctp_C10,trm_4a3fd79d097b4,helping others in the absence of an immediately obvious reward.
15,25073,altruistic motivation,,ctp_C10,trm_4a3fd79d097bf,A desire or need to help others driven by selflessness.
16,25074,alveolar,,ctp_C6,trm_4a3fd79d097cb,speech sound articulated with the tip of the tongue touching or near the teethridge.
17,25075,amodal representation,,,trm_4a3fd79d097d6,The way the brain codes multiple inputs such as words and pictures to integrate and create a larger conceptual idea; independent of a particular modality
18,25076,analog representation,,,trm_4a3fd79d097e2,a value or variable in analog form.
19,25077,analogical encoding,,,trm_4a3fd79d097ed,the structural comparison of a familiar with a novel situation
20,25078,analogical inference,,,trm_4a3fd79d097f9,"is the ability to reason by permitting the extension of knowledge of a target domain by virtue of its similarity to a base domain. The general procedure for analogical inference involves copying structure from the base to the target in which missing information is generated, and substitutions are made for items for which analogical correspondences have already been found.
"
21,25079,analogical problem solving,,ctp_C3,trm_4a3fd79d09804,using principles or concepts from a well-understood situation to solve problems in a new domain or area
22,25080,analogical reasoning,,ctp_C3,trm_4a3fd79d09810,"a method of processing information that compares the similarities between new and understood concepts, then uses those similarities to gain understanding of the new concept; a form of inductive reasoning."
23,25081,analogical transfer,,ctp_C3,trm_4a3fd79d0981b,The transfer of knowledge from one situation to another by finding a set of one-to-one correspondences between aspects of one body of information and aspects of another.
24,25082,analogy,,,trm_4a3fd79d09827,inference that if two or more things agree with one another in some respects they will probably agree in others; resemblance in some particulars between things otherwise unlike; correspondence between the members of pairs or sets of linguistic forms that serves as a basis for the creation of another form; correspondence in function between anatomical parts of different structure and origin.
25,25083,anchoring,,ctp_C3,trm_4a3fd79d09833,"a cognitive bias that describes the common human tendency to rely too heavily, or &#34;anchor,&#34; on one trait or piece of information when making decisions."
26,25084,anticipation,"intuition, foreknowledge, prescience, foresight, prediction, imaginative speculation",,trm_4a3fd79d09849,"prior expectation of an event or occurrence, sometimes accompanied by an emotional reaction"
27,25085,apparent motion,apparent movement,ctp_C1,trm_4a3fd79d09855,The illusory perception that movement is occurring in one or more static images.
28,25086,apperception,,,trm_4a3fd79d0986c,the process by which new experience is assimilated to and transformed by the residuum of past experience of an individual to form a new whole.
29,25087,appetitive motivation,,ctp_C10,trm_4a3fd79d09877,behavior directed toward goals that are usually associated with positive hedonic processes.  
30,25088,arousal,,,trm_4a3fd79d09883,Disambiguation
31,25089,articulation,,ctp_C6,trm_4a3fd79d0988f,the act of vocally producing an utterance or expression
32,25090,articulatory planning,,ctp_C6,trm_4a3fd79d0989a,The action of coordinating complex tongue and mouth movements in order to produce sound. 
33,25091,articulatory rehearsal,,ctp_C5,trm_4a3fd79d098a6,the process of subvocally repeating material that is to be stored in memory.  
34,25092,assimilation,,,trm_4a3fd79d098b2,the process of receiving new facts or of responding to new situations in conformity with what is already available to consciousness.
35,25093,association,,,trm_4a3fd79d098bd,"the process of forming mental connections or bonds between sensations, ideas, or memories."
36,25094,association learning,,ctp_C5,trm_4a3fd79d098c9,learning process in which two or more items or concepts become associated with each other; often used in relation to learned stimulus-response associations
37,25095,attachment,,ctp_C9,trm_4a3fd79d098e0,a social connection between individuals
38,25096,attended channel,,,trm_4a3fd79d098eb,"the particular input, out of two or more, that is consciously perceived due to attention.  "
39,25097,attended stimulus,,,trm_4a3fd79d098f7,the specific object in the environment on which attention is focused.
40,25098,attention,,ctp_C2,trm_4a3fd79d09902,"used to describe any number of cognitive processes, organized as top-down or bottom-up, goal-directed or stimulus-driven, and more, but generally reflecting an interplay between cognitive and sensory systems."
41,25099,attention capacity,,ctp_C2,trm_4a3fd79d0990e,refers to the extent that one can allocate their processing resources.
42,25100,attentional effort,,ctp_C2,trm_4a3fd79d09919,"a motivated activation of attention systems in order to stabilize or recover attentional performance in response to the detection of errors and reward loss or, more generally, deteriorating attentional performance; amount of attentional resources needed for a particular situation; engagement of attentional resources"
43,25101,attentional resources,,ctp_C2,trm_4a3fd79d09925,amount of available attentional capacity
44,25102,attentional state,,ctp_C2,trm_4a3fd79d09930,"referring to amount of attentional resources being engaged;  a relaxed attentional state requires little attentional effort, whereas an alert, focused attentional state requires more"
45,25103,attitude,,,trm_4a3fd79d09947,a mental position with regard to a fact or state
46,25104,audiovisual perception,,ctp_C1,trm_4a3fd79d09953,"a single unified awareness derived from the integration of auditory and visual sensory processes when a audiovisual stimulus is present. 

"
47,25105,audition,auditory,ctp_C1,trm_4a3fd79d0995e,the sense or act of hearing.
48,25106,auditory attention,,ctp_C2,trm_4a3fd79d09a10,"is the cognitive process of selectively concentrating on one auditory stream in the environment while ignoring others.
"
49,25107,auditory coding,,,trm_4a3fd79d09a3d,"processing and encoding of sound, words, and all other auditory input for storage and later retrieval. According to Baddeley, processing of auditory information is aided by the concept of the phonological loop, which allows input within our echoic memory."
50,25108,auditory encoding,,ctp_C5,trm_4a3fd79d09a49,the process of storing auditory information in memory.  
51,25109,auditory feedback,,,trm_4a3fd79d09a55,"is provided by auditory stimulation in response to specific behavior. The feedback may be used to amend subsequent behavior, cognition, perception or performance.
"
52,25110,auditory grouping,,ctp_C1,trm_4a3fd79d09a61,joining disparate sounds together into one percept; assessing which acoustic streams belong together
53,25111,auditory imagery,,,trm_4a3fd79d09a6c,the subjective experience of hearing in the absence of auditory stimulation.
54,25112,auditory learning,,ctp_C5,trm_4a3fd79d09a78,learning of auditorily presented information
55,25113,auditory lexical access,,ctp_C6,trm_4a3fd79d09a84,"The process by which the basic sound-meaning connections of language, i.e., lexical entries, are activated.
"
56,25114,auditory localization,,ctp_C1,trm_4a3fd79d09a8f,a listener&#39;s ability to identify the location or origin of a detected sound.
57,25115,auditory masking,,ctp_C1,trm_4a3fd79d09a9b,the perception of one sound is affected by the presence of another sound; presenting a sound to interfere with or terminate a target sound
58,25116,auditory memory,,ctp_C5,trm_4a3fd79d09aa7,the cognitive capacity of storing and retrieving information related to sound.
59,25117,auditory perception,,ctp_C1,trm_4a3fd79d09ab2,"The ability to identify, interpret, and attach meaning to sound."
60,25118,auditory scene,,ctp_C1,trm_4a3fd79d09abe,auditory scene analysis is the process by which the human auditory system organizes sound into perceptually meaningful elements.
61,25119,auditory scene analysis,,,trm_4a3fd79d09aca,the process by which the human auditory system organizes sound into perceptually meaningful elements.
62,25120,auditory sentence comprehension,,ctp_C6,trm_4a3fd79d09ad5,ability to combine auditory words into a meaningful sentence unit. 
63,25121,auditory stream segregation,,ctp_C1,trm_4a3fd79d09ae1,the perceptual grouping of sounds to form coherent representations of objects in the acoustic scene; a fundamental aspect of hearing and speech perception.
64,25122,auditory word comprehension,,ctp_C6,trm_4a3fd79d09aed,ability to parse acoustic signals into meaningful words
65,25123,auditory word recognition,,ctp_C6,trm_4a3fd79d09af8,ability to recognize acoustically presented words
66,25124,auditory working memory,,ctp_C5,trm_4a3fd79d09b04,Working memory for auditory information
67,25125,autobiographical memory,,ctp_C5,trm_4a3fd79d09b10,"a memory system consisting of episodes recollected from an individualâs life, based on a combination of episodic (personal experiences and specific objects, people and events experienced at particular time and place) and semantic (general knowledge and facts about the world) memory."
68,25126,autobiographical recall,,,trm_4a3fd79d09b1c,"episodes recollected from an individualâs life, based on a combination of episodic (personal experiences and specific objects, people and events experienced at particular time and place) and semantic (general knowledge and facts about the world) memory. "
69,25127,automaticity,,ctp_C5,trm_4a3fd79d09b28,behavior performed without intention
70,25128,availability heuristic,,ctp_C3,trm_4a3fd79d09b33,A heuristic in which people predict the frequency of classes or the probability of events based on the ease with which relevant instances come to mind. 
71,25129,aversive learning,,ctp_C5,trm_4a3fd79d09b3f,behavior modification using an adverse stimulus in response to the inappropriate or undesirable behavior.
72,25130,backward chaining,,ctp_C3,trm_4a3fd79d09b62,"an inference method used in automated theorem provers, proof assistants and other artificial intelligence applications.  Backward chaining starts with a list of goals (or a hypothesis) and works backwards from the consequent to the antecedent to see if there is data available that will support any of these consequents."
73,25131,behavioral inhibition,,,trm_4a3fd79d09b79,Disambiguation
74,25132,belief,,,trm_4a3fd79d09b85,a state or habit of mind in which trust or confidence is placed in some person or thing; conviction of the truth of some statement or the reality of some being or phenomenon especially when based on examination of evidence.
75,25133,binocular convergence,,ctp_C1,trm_4a3fd79d09b9c,"when you look at an object that is closer than approximately 25 feet, your eyes must converge on the object to perceive it as a single object clearly in focus.&#34; "
76,25134,binocular disparity,,ctp_C1,trm_4a3fd79d09bb3,"the difference in image location of an object seen by the left and right eyes, resulting from the eyes&#39; horizontal separation. The brain uses binocular disparity to extract depth information from the two-dimensional retinal images  in stereopsis."
77,25135,binocular vision,,ctp_C1,trm_4a3fd79d09bbf,"is vision in which both eyes are used together.  Having two eyes confers at least four advantages over having one. First, it gives a creature a spare eye in case one is damaged. Second, it gives a wider field of view.  Third, it gives binocular summation in which the ability to detect faint objects is enhanced.  Fourth it can give stereopsis in which parallax provided by the two eyes&#39; different positions on the head give precise depth perception.  Such binocular vision is usually accompanied by singleness of vision or binocular fusion, in which a single image is seen despite each eye&#39;s having its own image of any object.  Other phenomena of binocular vision include utrocular discrimination, eye dominance, allelotropia, and binocular rivalry."
