,node_id,name,condition_text,prop_id,condition_description
0,24379,congruent,congruent,con_4b1969ec123ec,The color and word names match
1,24380,incongruent,incongruent,con_4b1969ffa6857,The color and word names conflict with one another
2,24381,neutral,neutral,con_4b196a106c24a,The word is not a color name
3,24382,Go trial,Go trial,con_4b44a4d54233a,Trials on which a go stimulus is presented and the subject is expected to respond
4,24383,Stop trial,Stop trial,con_4b44a4f3505bb,"Trials on which a stop signal is presented at some delay (stop-signal delay) following the go stimulus, and the subject is expected to stop"
5,24384,Go trials,Go trials,con_4b4a2f2e253fc,Trials on which the stimulus is in the go category
6,24385,Stop trial,Stop trial,con_4b4a2f46e10c3,Trials on which the stimulus is in the stop category
7,24386,0-back,0-back,con_4b4a51b665917,A condition requiring stimulus matching but not working memory
8,24387,3-back,3-back,con_4b4a51d944c3e,A condition requiring memory for stimuli occurring 3 stimuli back
9,24388,Target,Target,con_4b4a538ded442,The stimulus to be responded to
10,24389,Nontarget,Nontarget,con_4b4a53b3e6eb5,Any stimulus other than the target
11,24390,1-back,1-back,con_4b4a54736e57a,A condition requiring memory for stimuli occurring 1 stimuli back
12,24391,2-back,2-back,con_4b4a5481d9f61,A condition requiring memory for stimuli occurring 2 stimuli back
13,24392,3-back,3-back,con_4b4a5490ef92f,A condition requiring memory for stimuli occurring 3 stimuli back
14,24393,no delay,no delay,con_4b4a5f6515553,No delay between initial presentation and probe
15,24394,delay,delay,con_4b4a5f854160f,Probe presentation follows a delay after initial presentation
16,24395,Matching,Matching,con_4b65e60a2cd66,The word and picture refer to the same concept
17,24396,Non-matching,Non-matching,con_4b65e62c517d4,The word and picture refer to different concepts
18,24397,Segmented blocks,Segmented blocks,con_4b7c0325a84d2,None
19,24398,Unsegmented blocks,Unsegmented blocks,con_4b7c03351da6c,None
20,24399,Difficulty Level 1,Difficulty Level 1,con_4b7c041db7971,All three stimulus dimensions must match
21,24400,Difficulty Level 2,Difficulty Level 2,con_4b7c04350b339,Only two stimulus dimensions must match
22,24401,Difficulty Level 3,Difficulty Level 3,con_4b7c044e53f9e,Only one stimulus dimension must match
23,24402,First category,First category,con_4b7c0a332773f,The first category presented in the series
24,24403,Subsequent categories,Subsequent categories,con_4b7c0aa41ca2a,Categories presented after the first in the series
25,24404,Perseverative errors,Perseverative errors,con_4b7c101e99f7e,Errors that involve perseveration on the previously acquired set
26,24405,Nonperseverative errors,Nonperseverative errors,con_4b7c1033c0b2d,Errors that do not involve perseveration on the previously acquired set
27,24406,Failure to maintain set,Failure to maintain set,con_4b7c108cc5daf,Loss of the correct sorting rule during performance
28,24407,Congruent,Congruent,con_4b8436b5767e7,Both body and head belong to the same animal
29,24408,Incongruent,Incongruent,con_4b8436e0716e9,Body and head belong to different types of animals
30,24409,Switch trial,Switch trial,con_4bd1ebae43d9f,Those trials on which subjects are required to switch from one task to another
31,24410,Repeat trial,Repeat trial,con_4bd1ebdb08118,Those trials on which subjects are required to repeat the same task that was performed on the previous trial
32,24411,Words,Words,con_4be6eb857e704,Valid words in the testing language for which the correct response is &#34;Yes&#34;
33,24412,Pseudowords,Pseudowords,con_4be6ebc7bf079,Pronounceable letter or phoneme strings which do not form a valid word in the testing language.  The correct response is &#34;No&#34;
34,24413,Consonant letter strings,Consonant letter strings,con_4be6ec0cf3081,In imaging studies (as opposed to purely behavioural expts) strings of consonants are often used as a nonlexical control condition because they do not engage the reading system to the same extent
35,24414,Fixation,Fixation,con_4be6ec2f7f42c,A &#34;baseline&#34; condition when no letter string stimulus is presented and no response is expected
36,24415,Successful Stop Trial,Successful Stop Trial,con_4c6b5fd5be8b2,"A trial on which a stop signal is presented at a delay following the go stimulus, and the subject successfully withholds their response"
37,24416,Unsuccessful stop trial,Unsuccessful stop trial,con_4c6b600d4a2c2,"A trial on which a stop signal is presented at a delay following the go stimulus, and the subject fails to withhold their response"
38,24417,delay period distractor task,delay period distractor task,con_4c9974a448553,"an optional task performed during the delay period between target presentation and the response cue; tasks examples : number subtraction, word categorization"
39,24418,sensory modality,sensory modality,con_4c9975fc2e715,"This task is overwhelmingly performed with visual stimuli with a visual saccade response, however, a haptic version performed blind is described in Park & Holzman 1996."
40,24419,Successful stop trial,Successful stop trial,con_4ebd400a8721f,Stop trial on which subjects successfully inhibit
41,24420,Junk trial,Junk trial,con_4ebd3f96a11e3,A go trial on which subject failed to respond or responded incorrectly
42,24421,Probabilistic classification trials,Probabilistic classification trials,con_4cacf2671647d,Trials on which the subject classifies items
43,24422,Go trials,Go trials,con_4cacf41107509,Trials on which a go stimulus is presented and the subject is expected to respond
44,24423,Stop-critical trial,Stop-critical trial,con_4cacf4462f7cf,"Trials on which a stop signal is presented at some delay (stop-signal delay) following the go, and the stimulus is the critical stimulus, meaning that the subject is expected to stop"
45,24424,Stop-noncritical trial,Stop-noncritical trial,con_4cacf4680a5e0,"Trials on which a stop signal is presented at some delay (stop-signal delay) following the go, and the stimulus is the non-critical stimulus, meaning that the subject is not expected to stop"
46,24425,Word,Word,con_4d949c72f2589,Pairs of real english words
47,24426,Pseudoword,Pseudoword,con_4d949c8528903,Pairs of pseudowords
48,24427,meaningful,meaningful,con_4de53a974622f,actions are common gestures
49,24428,meaningless,meaningless,con_4de53abc62726,"actions are novel, and have likely not been seen or performed by the participant before"
50,24429,antisaccade,antisaccade,con_4de55b6707137,eye movements away from the fixation point
51,24430,prosaccade,prosaccade,con_4de55b77a975e,eye movements toward the fixation point
52,24431,forward,forward,con_4de56f49c241c,participant repeats a string of digits in the order they were presented
53,24432,backward,backward,con_4de56f7a1755f,"participant repeats a string of digits in the reverse order, beginning with the last digit presented"
54,24433,control pump,control pump,con_4ffc9c54be174,The participant pumps a control balloon which has no reward associated with it
55,24434,explosion,explosion,con_4de5788dbc4bf,the balloon bursts and the participant loses all gains for the trial
56,24435,short form,short form,con_4de583fcb050b,"27 points, subjects match possible faces to one picture, the last seven questions use pictures different poses"
57,24436,long form,long form,con_4de584598a7df,"54 points, subjects complete the short form plus an additional nine questions with the pictures using alternate lighting and poses. Each picture has 3 possible matches during this portion"
58,24437,copying test,copying test,con_4de67164155d6,participants copy pictures or geometric objects
59,24438,size match,size match,con_4de671af5ac83,participants judge whether two objects presented side-by-side are the same size
60,24439,length match,length match,con_4de671d131e0a,participants judge whether two objects presented side-by-side are the same length
61,24440,orientation match,orientation match,con_4de671e759538,participants judge whether two objects presented side-by-side are shown with the same orientation
62,24441,position of gap match,position of gap match,con_4de6722368540,participants judge whether two objects presented side-by-side have a gap in the same position
63,24442,overlapping figures test,overlapping figures test,con_4de674d6a83ce,participants are asked to identify all the objects in pictures containing overlapping figures
64,24443,object decision,object decision,con_4de6758abdd95,participants are shown pictures and asked to identify whether the object could be real or is unreal
65,24444,minimal feature match,minimal feature match,con_4de677aa1df70,"participants are asked to select a picture that is the same as the original picture, but the saliency of the objectâs most distinctive feature is reduced"
66,24445,foreshortened view,foreshortened view,con_4de67800c8e2a,"participants are asked to select a picture that is the same as the original picture, but the object&#39;s principle axis is foreshortened"
67,24446,drawing from memory test,drawing from memory test,con_4de6789784b81,participants draw images varying in complexity from simple shapes to complex objects like faces
68,24447,picture naming,picture naming,con_4de678e0271fa,participants identify the names for pictures presented. Pictures are generally words used infrequently
69,24448,immediate recall,immediate recall,con_4de6a278a78fe,"16 words from four categories are presented to the participant, who is then asked to recall as many as possible in 5 consecutive trials"
70,24449,interference,interference,con_4de6a2be90318,"a list of other words is presented, and the participant is once again asked to recall the initial 16 words"
71,24450,long recall,long recall,con_4de6a2f38a3dd,"after 20 minutes have passed, the participant is again asked to recall as many words as possible from the original list of 16"
72,24451,recognition trial,recognition trial,con_4de6a33431179,"some researchers include a recognition trial at the end of the test, in which the participant is shown a list of words and asked which ones were on the original list"
73,24452,same images,same images,con_4de6ad74bd5ee,"participants view 6 faces in a random order, then are given 3 forced-choice tasks per face they have seen, in which 2 distractor faces are added and the participant must choose which face they have seen before"
74,24453,novel images,novel images,con_4de6add394f5b,"participants complete a forced-choice task as in the same images condition, but the original 6 faces are now shown in a different way (different lighting, new facial expression, etc.)"
75,24454,novel images with noise,novel images with noise,con_4de6ae3e22fb0,"the participants complete a novel images forced-choice task, with Gaussian noise added"
76,24455,ratio,ratio,con_4de6b69d1e52b,"each trial has different ratios of one color to the other, affecting the probability of selecting the right color for the token"
77,24456,stimulus,stimulus,con_4de6bfac7a76f,"a subject must watch for a stimulus to be presented in the way it was shown to them before the test, then must react by pressing a button"
78,24457,non-stimulus,non-stimulus,con_4de6bfdf58e8e,"a subject is watching for a stimulus, but some other shape/picture/object is shown"
79,24458,right hand,right hand,con_4de6c00e51ce0,subjects are instructed to identify a stimulus or set of stimuli by pressing a button with the right hand
80,24459,left hand,left hand,con_4de6c02033068,subjects are instructed to identify a stimulus or set of stimuli by pressing a button with the left hand
81,24460,risky option,risky option,con_4de6c5f53e3b1,"a choice that has a low probability of reward, but a higher reward than the non-risky option"
82,24461,non-risky option,non-risky option,con_4de6c62e9b3ed,"a choice that has a high probability of reward, but the reward is lower than in the risky option"
83,24462,conditioned stimulus,conditioned stimulus,con_4de6c84f74297,"a stimulus is presented that the subject has no instinctive response to, but the researcher hopes to create an automatic response to by pairing it with the unconditioned stimulus"
84,24463,unconditioned stimulus,unconditioned stimulus,con_4de6c8bbe652f,"a stimulus that the subject has a natural, instinctive reaction to ( stimuli associated with pain, noise, fear, and reward are often used)"
85,24464,descending,descending,con_50215d9130bbd,bets start high and decrease over time
86,24465,meditation,meditation,con_5022e5a2e1b2f,participant performs meditation of a specific subtype
87,24466,ascending,ascending,con_50215d7c5e1bb,possible bets start low and increase over time
88,24467,formulating sentences subtest,formulating sentences subtest,con_4de6d03ae6527,participant is asked to use a specific word or phrase correctly in a sentence to describe a picture
89,24468,recalling sentences subtest,recalling sentences subtest,con_4de6d066cb774,participant is asked to repeat a sentence
90,24469,sentence structure subtest,sentence structure subtest,con_4de6d0d578e8e,participant responds to sentences of varying difficulty and structure
91,24470,concepts and directions subtest,concepts and directions subtest,con_4de6d1194328b,participant is asked to follow directions that become increasingly difficult and cover a range of language concepts
92,24471,word classes subtest,word classes subtest,con_4de6d1650c54a,"participants must identify how words relate to each other (synonyms/antonyms, types, etc.)"
93,24472,word structure subtest,word structure subtest,con_4de6d27471736,assesses participants understanding of morphology
94,24473,semantic relationships subtest,semantic relationships subtest,con_4de6d42855b8b,"only administered to children 9 years and older, assesses ability to understand semantic relationships"
95,24474,sentence assembly subtest,sentence assembly subtest,con_4de6d45dd9ade,"only administered to children 9 years and older, participant is given words or phrases and asked to construct sentences using them"
96,24475,Stimulation at PT-0.7Â°C,Stimulation at PT-0.7Â°C,con_4e5e7b75a6db4,Heat stimulation at pain threshold minus 0.7Â°C
97,24476,Stimulation at PT-1.0Â°C,Stimulation at PT-1.0Â°C,con_4e5e7b3e4b895,Heat stimulation at pain threshold minus 1.0Â°C
98,24477,hider,hider,con_4de7dc695f6f3,the subject hides an object and is encouraged to mislead the experimenter or other participant about where the object is hidden
