,reln_id,reln_type,startNode,endNode,reln_prop_id,reln_contrast_id,reln_task_id,reln_disorder
0,70395,HASCITATION,23637,31050,,,,
1,69517,HASINDICATOR,23637,30089,ind_50070f2b5e888,,,
2,45912,ASSERTS,23637,25098,,,,
3,45902,ASSERTS,23637,25656,,,,
4,41139,HASCONTRAST,23637,26395,,,,
5,41137,HASCONTRAST,23637,26393,,,,
6,40295,HASCONDITION,23637,24724,,,,
7,40294,HASCONDITION,23637,24723,,,,
8,40293,HASCONDITION,23637,24722,,,,
9,70958,HASCITATION,23638,39522,,,,
10,69758,HASEXTERNALDATASET,23638,30379,,,,
11,69680,HASINDICATOR,23638,30286,ind_565a31fab2df4,,,
12,50579,PARTOF,23638,23914,,,,
13,50578,ASSERTS,23638,25599,,,,
14,42067,HASCONTRAST,23638,27332,,,,
15,42066,HASCONTRAST,23638,27331,,,,
16,42065,HASCONTRAST,23638,27330,,,,
17,40564,HASCONDITION,23638,25002,,,,
18,40563,HASCONDITION,23638,25001,,,,
19,70863,HASCITATION,23640,31486,,,,
20,70457,HASCITATION,23640,31135,,,,
21,48172,ASSERTS,23640,25505,,,,
22,45778,ASSERTS,23640,25635,,,,
23,45765,ASSERTS,23640,25652,,,,
24,40689,HASCONTRAST,23640,25944,,,,
25,70957,HASCITATION,23644,39521,,,,
26,70956,HASCITATION,23644,39520,,,,
27,70955,HASCITATION,23644,30518,,,,
28,70954,HASCITATION,23644,30517,,,,
29,69760,HASEXTERNALDATASET,23644,30381,,,,
30,69759,HASEXTERNALDATASET,23644,30380,,,,
31,69679,HASINDICATOR,23644,30089,ind_565a2e7c45e42,,,
32,69678,HASINDICATOR,23644,30251,ind_565a2e7c36972,,,
33,50242,KINDOF,23644,23744,,,,
34,48337,ASSERTS,23644,25650,,,,
35,48336,ASSERTS,23644,25596,,,,
36,42063,HASCONTRAST,23644,27328,,,,
37,42062,HASCONTRAST,23644,27327,,,,
38,42061,HASCONTRAST,23644,27326,,,,
39,40562,HASCONDITION,23644,25000,,,,
40,40561,HASCONDITION,23644,24999,,,,
41,70491,HASCITATION,23646,31146,,,,
42,70317,HASCITATION,23646,30975,,,,
43,46125,ASSERTS,23646,25664,,,,
44,46109,ASSERTS,23646,25226,,,,
45,45625,ASSERTS,23646,25521,,,,
46,41199,HASCONTRAST,23646,26455,,,,
47,41198,HASCONTRAST,23646,26454,,,,
48,41197,HASCONTRAST,23646,26453,,,,
49,41196,HASCONTRAST,23646,26452,,,,
50,41195,HASCONTRAST,23646,26451,,,,
51,41194,HASCONTRAST,23646,26450,,,,
52,41193,HASCONTRAST,23646,26449,,,,
53,40333,HASCONDITION,23646,24762,,,,
54,40042,HASCONDITION,23646,24465,,,,
55,70494,HASCITATION,23647,31148,,,,
56,69860,HASCITATION,23647,30501,,,,
57,69555,HASINDICATOR,23647,30255,ind_5023ff87b43da,,,
58,46142,ASSERTS,23647,25094,,,,
59,41201,HASCONTRAST,23647,26457,,,,
60,70522,HASCITATION,23648,31174,,,,
61,70521,HASCITATION,23648,31173,,,,
62,69564,HASINDICATOR,23648,30251,ind_50b40c5b5c61e,,,
63,69563,HASINDICATOR,23648,30101,ind_50b40c522dc7e,,,
64,69562,HASINDICATOR,23648,30084,ind_50b40c4921bd1,,,
65,46348,ASSERTS,23648,25527,,,,
66,46344,ASSERTS,23648,25528,,,,
67,46339,ASSERTS,23648,25203,,,,
68,41229,HASCONTRAST,23648,26485,,,,
69,41228,HASCONTRAST,23648,26484,,,,
70,40627,HASCONTRAST,23648,25882,,,,
71,70526,HASCITATION,23651,31180,,,,
72,70525,HASCITATION,23651,31179,,,,
73,70524,HASCITATION,23651,31178,,,,
74,69565,HASINDICATOR,23651,30104,ind_50b55eaa03c6f,,,
75,46355,ASSERTS,23651,25099,,,,
76,41232,HASCONTRAST,23651,26488,,,,
77,41231,HASCONTRAST,23651,26487,,,,
78,41230,HASCONTRAST,23651,26486,,,,
79,40353,HASCONDITION,23651,24782,,,,
80,40352,HASCONDITION,23651,24781,,,,
81,45637,ASSERTS,23652,25501,,,,
82,70196,HASCITATION,23653,30844,,,,
83,70195,HASCITATION,23653,30843,,,,
84,69791,HASCITATION,23653,30415,,,,
85,53764,HASINDICATOR,23653,30089,ind_4dffdee526ffc,,,
86,53763,HASINDICATOR,23653,30304,ind_4dffde9f8b0b8,,,
87,44304,ASSERTS,23653,25342,,,,
