,node_id,name,alias,concept_class,prop_id,definition_text
0,23637,delayed memory task,DMT,,trm_4fba85a597ca9,"a number between 2 and 7 digits is displayed for a brief period and is followed by a greater period of time than that in its complement, the immediate memory task, that contains distractor stimuli."
1,23638,regulated heat stimulation,,,trm_565a31fa6f444,"The general task design is that a heat stimulus is applied to the skin and the participant rates the experienced sensation on a visual analogue scale. For this task, there are 9 runs. Runs 1,2, 4, 5, 6, 8, and 9 are âpassive experienceâ runs, meaning that participants passively experience and rate the heat stimuli.  Run 3 and 7 are âregulationâ runs, meaning that participants can cognitively âincreaseâ (regulate-up) or âdecreaseâ (regulate-down) pain intensity. For complete details, see:

http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1002036"
2,23639,2-stage decision task,two-stage decision task,,trm_5667451917a34,"Subjects participate in a two-stage decision task where they make a binary choice in each stage (stage 1&2) and probabilistically receive reward after the final stage (stage 2). First-stage choices are primarily associated with one of two second-stages (labeled 2a and 2b): one first-stage choice leads to 2a 70% of the time and 2b 30% of the time, while the opposite is true of the other first-stage choice. Each second-stage choice has its own probability of reward (constantly changing via a random-walk). The ultimate goal of the subject is to maximize reward, which are only given during the second stage. The ideal subject would identify the most rewarding second-stage stimulus and make first-stage choices that make it more likely to arrive at the relevant second stage. "
3,23640,backward masking,,,trm_4a3fd79d09b6d,a phenomenon wherein presenting one stimulus (a &#34;mask&#34; or &#34;masking stimulus&#34;) immediately after another brief (â¤ 50 ms) &#34;target&#34; stimulus leads to a failure to consciously perceive the first stimulus.
4,23641,size match task,,,trm_4fbd2af083332,participants judge whether two objects presented side-by-side are the same size
5,23642,adaptive n-back task,,,trm_56674133b666c,"A variant of the n-back task, each trial consists of letters (b,d,g,t,v) presented in successive order.  Subjects must press a button if the current letter matches the letter that occurred n trials ago (regardless of capitalization).  N varies according to a staircase tracking method that increases as subjects accurately respond and decrease as subjects make errors. "
6,23643,object decision task,,,trm_4fbd2c18e1dd9,participants are shown pictures and asked to identify whether the object could be real or is unreal
7,23644,incentive modulated antisaccade task,,,trm_565a2e79b22f2,"The basic antisaccade task is as follows:

Subjects view a fixation point and a visual target is presented.  Subjects are instructed to make a saccade away from the target (antisaccade).

For this version (from Figure 1 of http://www.sciencedirect.com/science/article/pii/S1878929311000612)

At the onset of each AS trial, participants were first presented with one of two incentive cues (1500 ms) (Fig. 1). For rewarded trials, the cue consisted of three rectangles containing dollar signs ($ $ $), indicating that money could be earned on that trial if correctly performed. Participants were told that they could win up to US $25 based on their performance during the task. However, they did not know how much they could win on any given trial in order to prevent them from keeping a running tally of their earnings and invoking processes (i.e. working memory) separate from inhibitory control and reward processing. For neutral trials, the three consecutive rectangles each contained a dash (â â â), which indicated that no monetary gain was at stake for that trial. After the initial cue, a central red fixation cross subtending â¼0.7Â° of visual angle appeared (3000 ms), instructing participants to prepare for the target stimulus. The red central fixation then disappeared and a horizontally peripheral target stimulus (yellow spot, subtending â¼0.5Â°) appeared (1500 ms) at an unpredictable location on the horizontal meridian (Â±3Â°, 6Â°, or 9Â°). Participants were instructed to refrain from looking at the stimulus when it appeared but instead move their eyes to its mirror location. Target location was randomized within each run. During the VGS trials, participants were presented with a green fixation cross (1500 ms) which instructed them to look toward the peripheral stimulus when it appeared. No incentive cue was provided for VGS trials. The VGS trials were randomly interspersed between the AS trials to minimize the possibility that participants would establish an inhibitory response set (Velanova et al., 2009), but were not further analyzed. As indicated in previous studies, (Ollinger et al., 2001b and Ollinger et al., 2001a), the inter-trial fixation period was jittered between intervals of 1.5, 3, or 4.5 s (uniformly distributed) and consisted of participants simply fixating a central white cross on a black background. Participants performed three functional runs of the task (5 min 2 s each in duration) for a total of 30 reward AS trials, 30 neutral AS trials and 15 VGS trials."
8,23645,overlapping figures task,,,trm_4fbd2b964d3ec,participants are asked to identify all the objects in pictures containing overlapping figures
9,23646,meditation task,,,trm_4fb4175126374,"Participants perform meditation either according to a particular school or undirected in conjunction with cognitive, behavioral, and/or physiological measures."
